Designator,Mid X,Mid Y,Layer,Rotation
C1,108,-114.5,top,180
C2,107.775,-117.7,top,180
C3,108,-112.5,top,180
C4,107.8,-119.2,top,180
C5,110.25,-126.25,top,-90
C6,76,-136,top,180
C7,70.5,-134.5,top,180
D1,124.5,-112.75,top,180
D2,90.6,-109.6,top,-90
J1,123,-121.75,top,90
J2,86.5,-100.5,top,-90
J3,76.4,-100.5,top,-90
J4,82.69,-109.5,top,90
Q1,95.5,-124.5,top,180
Q2,95.5,-121,top,180
R1,100.175,-124,top,180
R2,100,-121,top,180
R3,111.75,-117.5,top,-90
R4,121.5,-115.25,top,-90
R5,81.05,-103.75,top,90
R6,76,-134.5,top,0
R7,72,-109.5,top,0
R8,77.5,-109.5,top,180
R9,93.1,-109.6,top,-90
S1,98.25,-107,top,90
U1,108,-107,top,-90
U2,106.12,-123.37,top,180
U3,78.2,-123,top,0
